customer_ref,application_id,application_hour,application_day_of_week,account_open_year,preferred_contact,referral_code,account_status_code,num_login_sessions,num_customer_service_calls,has_mobile_app,paperless_billing,age,annual_income,employment_length,employment_type,education,marital_status,num_dependents,monthly_income,existing_monthly_debt,monthly_payment,debt_to_income_ratio,debt_service_ratio,payment_to_income_ratio,credit_utilization,revolving_balance,credit_usage_amount,available_credit,total_monthly_debt_payment,annual_debt_payment,loan_to_annual_income,total_debt_amount,monthly_free_cash_flow,state,regional_unemployment_rate,regional_median_income,regional_median_rent,housing_price_index,cost_of_living_index,loan_type,loan_amount,loan_term,interest_rate,loan_purpose,loan_to_value_ratio,origination_channel,loan_officer_id,marketing_campaign,credit_score,num_credit_accounts,oldest_credit_line_age,oldest_account_age_months,total_credit_limit,num_delinquencies_2yrs,num_inquiries_6mo,recent_inquiry_count,num_public_records,num_collections,account_diversity_index
100017,614821,21,4,2010,Email,REF0000,Active1,10,1,0,1,52,40500.0,1.5,Part-time,Bachelor,Married,2,3375.0,395.97,546.96,0.279,0.27938666666666667,0.162,0.078,2932.8,2932.8,34667.2,942.93,11315.16,0.4222222222222222,20032.8,2432.07,TX,4.3,61000.0,1340.0,106.0,82.0,Personal,17100.0,36,9.4,Other,0.0,Broker,999,L,765,21,6.1,73.19999999999999,37600.0,0.0,2,2,0,0,0.334
100018,612647,17,0,2021,Email,REF0000,Active,7,2,1,0,30,41200.0,0.9,Unknown,Some College,Single,0,3433.33,489.93,3333.37,1.114,1.1135825242718445,0.971,0.385,13590.5,13590.5,21709.5,3823.3,45879.6,10.769417475728156,457290.5,-389.96666666666624,FL,5.0,55000.0,1260.0,122.0,91.0,Mortgage,443700.0,360,8.25,Home Purchase,0.661,Branch,1081,E,622,2,1.5,18.0,35300.0,0.0,1,1,0,0,0.224
100019,551880,12,0,2022,Email,REF4163,A01,11,0,1,0,56,32200.0,2.6,Full-time,Advanced,Married,0,2683.0,872.3,2510.84,1.261,1.2607975155279503,0.936,0.548,39346.4,39346.4,32453.6,3383.14,40597.68000000001,13.493788819875776,473846.4,-699.8066666666668,TN,4.2,53000.0,1330.0,105.0,87.0,Mortgage,434500.0,360,5.66,Refinance,0.84,Online,1075,T,755,20,10.7,128.39999999999998,71800.0,0.0,1,1,0,0,0.442
100020,628899,11,4,2014,Email,REF0000,Active,8,1,1,1,62,22600.0,6.1,Full-time,High School,Divorced,1,1883.33,656.83,1294.29,1.036,1.0359929203539824,0.687,0.33,7359.0,7359.0,14941.0,1951.12,23413.44,1.2035398230088497,34559.0,-67.78666666666663,NY,4.4,72000.0,1620.0,139.0,114.0,Personal,27200.0,24,13.09,Debt Consolidation,0.0,Broker,997,F,723,19,21.2,254.39999999999998,22300.0,0.0,2,2,0,0,0.611
100021,554876,20,4,2014,Email,REF0000,Active3,6,4,1,0,19,20000.0,1.7,Full-time,Some College,Single,2,1667.0,229.43,775.35,0.603,0.602868,0.465,0.49,17542.0,17542.0,18258.0,1004.78,12057.36,1.125,40042.0,661.8866666666668,IL,4.9,65000.0,1510.0,104.0,93.0,Personal,22500.0,36,14.58,Major Purchase,0.0,Online,1071,M,631,0,1.0,12.0,35800.0,0.0,2,2,0,0,0.188
100022,611485,0,6,2013,Phone,REF0000,Active,10,3,0,1,43,38500.0,3.8,Full-time,Bachelor,Married,1,3208.33,903.6,210.0,0.347,0.34709610389610385,0.065,0.436,28950.4,28950.4,37449.6,1113.6,13363.199999999999,0.18181818181818182,35950.4,2094.73,CA,5.2,75000.0,1620.0,159.0,135.0,Credit Card,7000.0,0,16.93,Revolving Credit,0.0,Broker,1048,A,718,7,22.8,273.6,66400.0,0.0,0,0,0,0,0.452
100023,547280,13,2,2020,Phone,REF0000,Active2,15,1,0,0,47,59300.0,3.7,Full-time,Bachelor,Married,1,4941.67,1829.17,880.43,0.548,0.5483170320404721,0.178,0.195,14800.5,14800.5,61099.5,2709.6,32515.199999999997,2.2681281618887015,149300.5,2232.07,MI,6.2,57000.0,1410.0,102.0,91.0,Mortgage,134500.0,360,6.84,Home Purchase,0.774,Online,1075,K,716,11,12.1,145.2,75900.0,0.0,2,2,0,0,0.449
100024,627043,0,5,2013,Email,REF0000,Active2,13,2,0,1,52,21400.0,5.0,Full-time,Bachelor,Married,0,1783.33,664.66,1006.14,0.937,0.9368971962616822,0.564,0.429,15100.8,15100.8,20099.2,1670.8,20049.6,5.313084112149533,128800.8,112.53,NJ,5.5,82000.0,2000.0,126.0,110.0,Mortgage,113700.0,180,6.75,Home Purchase,0.683,Broker,1014,G,700,14,13.7,164.39999999999998,35200.0,0.0,1,1,0,0,0.475
100025,636088,6,1,2015,Phone,REF9668,Active2,10,3,0,1,44,58500.0,9.4,Full-time,Bachelor,Married,1,4875.0,1318.43,66.0,0.284,0.28398564102564106,0.014,0.631,119700.7,119700.7,69999.3,1384.43,16613.16,0.037606837606837605,121900.7,3490.57,MA,4.2,81000.0,1880.0,150.0,132.0,Credit Card,2200.0,0,17.39,Revolving Credit,0.0,Broker,1099,W,744,6,11.7,140.39999999999998,189700.0,0.0,2,2,0,0,0.235
100026,603866,11,2,2020,Email,REF0000,Active,8,2,1,1,34,78100.0,11.5,Full-time,Advanced,Single,0,6508.33,325.81,564.97,0.137,0.13686760563380282,0.087,0.591,131261.1,131261.1,90838.9,890.78,10689.36,0.28425096030729835,153461.1,5617.55,TN,4.6,53000.0,1210.0,104.0,81.0,Personal,22200.0,48,10.18,Major Purchase,0.0,Online,1070,G,764,11,4.0,48.0,222100.0,0.0,2,2,0,0,0.184
100027,567742,11,1,2010,Email,REF0000,Active2,6,0,0,1,24,30700.0,1.3,Full-time,Advanced,Married,1,2558.33,270.33,360.01,0.246,0.24638697068403903,0.141,0.836,24912.8,24912.8,4887.2,630.34,7564.079999999999,0.3517915309446254,35712.8,1927.99,MI,5.5,57000.0,1440.0,97.0,79.0,Personal,10800.0,36,12.25,Debt Consolidation,0.0,Broker,1078,W,688,0,6.0,72.0,29800.0,0.0,2,2,0,0,0.137
100028,600467,20,2,2014,Mail,REF3859,Active3,15,1,1,0,48,78300.0,1.3,Full-time,Bachelor,Married,3,6525.0,482.37,890.93,0.21,0.21046743295019157,0.137,0.542,143955.2,143955.2,121644.79999999999,1373.3,16479.6,0.3486590038314176,171255.2,5151.7,VA,3.9,74000.0,1710.0,127.0,105.0,Personal,27300.0,36,10.78,Debt Consolidation,0.0,Broker,1088,Q,796,11,7.8,93.6,265600.0,0.0,0,0,0,0,0.346
100029,564175,13,1,2018,Phone,REF0000,Active1,6,1,1,1,30,36800.0,6.7,Full-time,Bachelor,Single,0,3066.67,414.33,730.95,0.373,0.3734608695652174,0.238,0.681,18182.7,18182.7,8517.3,1145.28,13743.36,0.595108695652174,40082.7,1921.3866666666665,CA,5.7,75000.0,1650.0,154.0,120.0,Personal,21900.0,36,12.34,Major Purchase,0.0,Online,1044,U,709,6,8.9,106.80000000000001,26700.0,0.0,3,3,0,1,0.307
100030,564345,5,4,2021,Email,REF0000,Active2,22,2,0,0,55,26100.0,7.0,Full-time,Bachelor,Married,1,2175.0,781.63,3198.6,1.83,1.8299908045977011,1.471,0.56,41664.0,41664.0,32736.0,3980.23,47762.76,20.03065134099617,564464.0,-1805.23,CA,6.0,75000.0,1690.0,156.0,124.0,Mortgage,522800.0,360,6.19,Refinance,0.85,Branch,1043,K,765,16,12.1,145.2,74400.0,0.0,1,1,0,0,0.369
100031,558335,23,4,2012,Email,REF0000,Active2,11,3,1,1,49,32900.0,10.7,Self-employed,Some College,Married,0,2742.0,730.03,2360.4,1.127,1.127208510638298,0.861,0.364,9354.8,9354.8,16345.2,3090.4300000000003,37085.16,11.72644376899696,395154.8,-348.76,NY,5.0,72000.0,1720.0,144.0,120.0,Mortgage,385800.0,360,6.19,Refinance,0.851,Branch,1002,F,760,14,8.9,106.80000000000001,25700.0,0.0,0,0,0,0,0.339
100032,637941,19,6,2017,Phone,REF0000,Active,15,1,0,0,52,45300.0,8.3,Self-employed,Bachelor,Married,1,3775.0,1132.37,1522.06,0.703,0.7031602649006622,0.403,0.437,20014.6,20014.6,25785.4,2654.43,31853.159999999996,5.5386313465783665,270914.6,1120.57,GA,4.0,58000.0,1570.0,103.0,79.0,Mortgage,250900.0,360,6.11,Refinance,0.909,Branch,1004,T,690,9,14.8,177.60000000000002,45800.0,0.0,3,3,0,1,0.413
100033,614722,19,3,2010,Phone,REF0000,Active,8,0,1,0,44,43700.0,4.9,Full-time,High School,Single,1,3642.0,917.83,757.38,0.46,0.46001189931350117,0.208,0.358,23699.6,23699.6,42500.4,1675.21,20102.52,0.620137299771167,50799.6,1966.4566666666665,TX,4.1,61000.0,1510.0,103.0,90.0,Personal,27100.0,48,15.23,Debt Consolidation,0.0,Branch,1005,F,682,5,10.7,128.39999999999998,66200.0,0.0,1,1,0,0,0.303
100034,637944,21,1,2013,Phone,REF5316,Active2,11,0,1,1,37,118900.0,1.5,Contract,Some College,Married,2,9908.33,2201.94,970.94,0.32,0.3202233809924306,0.098,0.62,131254.0,131254.0,80446.0,3172.88,38074.56,0.1740958788898234,151954.0,6735.453333333334,CA,5.6,75000.0,2040.0,170.0,139.0,Personal,20700.0,24,11.64,Major Purchase,0.0,Branch,1048,N,771,13,8.2,98.39999999999999,211700.0,0.0,5,5,0,0,0.284
100035,600783,2,3,2013,Email,REF7260,Active2,11,1,1,1,33,31600.0,5.9,Part-time,Some College,Single,1,2633.33,315.0,561.72,0.333,0.33293164556962024,0.213,0.515,19982.0,19982.0,18818.0,876.72,10520.64,0.5474683544303798,37282.0,1756.61,WI,4.0,60000.0,1590.0,108.0,88.0,Personal,17300.0,36,10.43,Home Improvement,0.0,Online,1091,G,756,5,3.8,45.599999999999994,38800.0,0.0,1,1,0,0,0.165
100036,563641,7,1,2013,Phone,REF2390,Active3,7,3,1,1,30,72500.0,6.5,Self-employed,Graduate,Married,1,6041.67,2173.13,33.68,0.365,0.36526510344827584,0.006,0.547,50706.9,50706.9,41993.1,2206.81,26481.72,0.01793103448275862,52006.9,3834.856666666667,TX,3.9,61000.0,1680.0,98.0,102.0,Personal,1300.0,48,11.13,Debt Consolidation,0.0,Broker,1005,G,719,5,7.5,90.0,92700.0,0.0,1,1,0,0,0.33
100037,635514,3,3,2014,Phone,REF0000,Active3,7,0,1,1,39,37300.0,1.5,Unknown,Graduate,Married,1,3108.33,449.75,703.24,0.371,0.3709351206434316,0.226,0.445,42186.0,42186.0,52614.0,1152.99,13835.880000000001,0.5656836461126006,63286.0,1955.3433333333335,AZ,4.5,58000.0,1260.0,119.0,97.0,Personal,21100.0,36,12.24,Other,0.0,Online,1079,U,772,10,13.5,162.0,94800.0,0.0,2,2,0,0,0.355
100038,629560,12,4,2022,Email,REF0000,A01,14,2,1,1,47,48500.0,3.7,Full-time,Graduate,Married,2,4041.67,259.77,207.0,0.115,0.11548948453608247,0.051,0.444,37917.6,37917.6,47482.4,466.77,5601.24,0.1422680412371134,44817.6,3574.8966666666665,NC,4.1,54000.0,1220.0,110.0,90.0,Unknown,6900.0,0,16.73,Revolving Credit,0.0,Broker,1053,G,736,10,8.9,106.80000000000001,85400.0,0.0,4,4,0,0,0.247
100039,619202,7,3,2017,Email,REF0000,Active,5,1,0,1,36,38500.0,3.4,Full-time,Some College,Single,1,3208.33,661.03,492.0,0.359,0.359385974025974,0.153,0.67,73901.0,73901.0,36399.0,1153.03,13836.36,0.42597402597402595,90301.0,2055.3,FL,5.3,55000.0,1320.0,112.0,93.0,Credit Card,16400.0,0,16.76,Revolving Credit,0.0,Branch,1079,Y,766,14,13.7,164.39999999999998,110300.0,0.0,1,1,0,0,0.329
100040,634300,16,6,2021,Mail,REF0000,Active,12,1,0,0,45,33800.0,3.6,Part-time,Some College,Married,1,2816.67,751.31,339.0,0.387,0.3870923076923077,0.12,0.473,36515.6,36515.6,40684.4,1090.31,13083.72,0.3343195266272189,47815.6,1726.3566666666666,MI,5.2,57000.0,1420.0,92.0,83.0,Credit Card,11300.0,0,18.9,Revolving Credit,0.0,Online,1081,E,681,10,11.6,139.2,77200.0,0.0,4,4,0,0,0.368
100041,553653,1,5,2014,Email,REF0000,Active,10,2,1,1,39,73300.0,10.1,Unknown,Bachelor,Single,0,6108.0,1387.26,48.0,0.235,0.2349675306957708,0.008,0.692,95634.4,95634.4,42565.6,1435.26,17223.12,0.021828103683492497,97234.4,4673.07,CA,6.0,75000.0,1690.0,152.0,132.0,Credit Card,1600.0,0,17.22,Revolving Credit,0.0,Online,1048,K,772,5,9.6,115.19999999999999,138200.0,0.0,0,0,0,0,0.33
100042,577122,6,4,2016,Email,REF0000,Active2,3,1,1,0,28,22300.0,4.5,Full-time,Some College,Married,3,1858.33,425.59,2103.82,1.361,1.3611174887892379,1.132,0.486,26292.6,26292.6,27807.4,2529.41,30352.920000000006,14.515695067264573,349992.6,-671.08,TX,3.8,61000.0,1450.0,105.0,96.0,Mortgage,323700.0,360,6.77,Home Purchase,0.781,Branch,1004,L,670,1,10.0,120.0,54100.0,0.0,2,2,1,0,0.133
100043,579753,8,2,2015,Email,REF8122,Active3,9,3,1,0,36,34500.0,7.1,Full-time,High School,Married,0,2875.0,633.61,1470.36,0.732,0.731815652173913,0.511,0.394,0.0,34120.4,52479.6,2103.97,25247.64,6.107246376811594,244820.4,771.0300000000002,CA,5.4,75000.0,1670.0,158.0,117.0,Mortgage,210700.0,360,7.48,Home Purchase,0.691,Online,1041,B,666,15,11.6,139.2,86600.0,0.0,0,0,1,0,0.449
100044,554715,17,2,2018,Email,REF0000,A01,8,0,1,1,29,69400.0,4.8,Full-time,Graduate,Married,1,5783.33,1620.18,389.07,0.347,0.3474207492795389,0.067,0.277,57671.4,57671.4,150528.6,2009.25,24111.0,0.2478386167146974,74871.4,3774.08,OH,4.7,56000.0,1290.0,86.0,74.0,Personal,17200.0,60,12.74,Home Improvement,0.0,Broker,1045,U,696,10,11.0,132.0,208200.0,0.0,5,5,0,0,0.348
100045,590578,23,6,2021,Phone,REF0000,Active3,12,4,1,1,36,37100.0,1.8,Self-employed,Advanced,Single,1,3091.67,717.44,1422.27,0.692,0.69208948787062,0.46,0.706,76601.0,76601.0,31899.0,2139.71,25676.52,7.2398921832884096,345201.0,951.96,MO,3.9,55000.0,1290.0,93.0,80.0,Mortgage,268600.0,360,4.88,Refinance,0.778,Online,1058,K,738,7,17.0,204.0,108500.0,0.0,2,2,0,0,0.422
100046,616998,4,4,2017,Phone,REF0000,A01,6,1,1,1,36,41400.0,5.1,Full-time,Graduate,Married,1,3450.0,426.91,572.48,0.29,0.2896782608695653,0.166,0.249,24177.9,24177.9,72922.1,999.39,11992.68,0.2971014492753623,36477.9,2450.6099999999997,IN,4.4,55000.0,1440.0,98.0,80.0,Personal,12300.0,24,10.86,Home Improvement,0.0,Broker,1045,N,707,2,3.8,45.599999999999994,97100.0,0.0,1,1,0,1,0.229
100047,623688,8,3,2017,Email,REF0000,Active3,4,2,1,0,20,20000.0,2.5,Full-time,Some College,Married,3,1666.67,160.88,1322.75,0.89,0.890178,0.794,0.39,13416.0,13416.0,20984.0,1483.63,17803.56,10.345,220316.0,183.04,TX,3.8,61000.0,1430.0,102.0,89.0,Mortgage,206900.0,360,6.61,Refinance,0.887,Online,997,K,707,12,2.0,24.0,34400.0,0.0,1,1,0,0,0.27
100048,628784,20,3,2014,Phone,REF0000,A01,11,1,1,0,54,47600.0,1.8,Self-employed,Bachelor,Divorced,1,3967.0,1133.37,99.0,0.311,0.310681512605042,0.025,0.112,4513.6,4513.6,35786.4,1232.37,14788.439999999999,0.06932773109243698,7813.6,2734.3,FL,5.5,55000.0,1460.0,117.0,99.0,Credit Card,3300.0,0,17.06,Revolving Credit,0.0,Branch,1080,I,745,9,10.8,129.60000000000002,40300.0,0.0,1,1,0,0,0.241
100049,585725,0,6,2018,Email,REF0000,Active1,8,1,1,1,49,46900.0,4.5,Full-time,Graduate,Single,1,3908.0,757.33,894.5,0.423,0.42264307036247334,0.229,0.195,21528.0,21528.0,88872.0,1651.83,19821.96,0.5948827292110874,49428.0,2256.5,IL,4.8,65000.0,1320.0,97.0,79.0,Personal,27900.0,36,9.56,Major Purchase,0.0,Broker,1069,G,761,11,8.0,96.0,110400.0,0.0,2,2,0,0,0.259
100050,594626,4,6,2010,Email,REF0000,Active2,7,3,1,1,31,54300.0,9.3,Full-time,Some College,Married,2,4525.0,849.71,325.94,0.26,0.2598121546961326,0.072,0.646,101228.2,101228.2,55471.8,1175.65,14107.800000000001,0.17863720073664824,110928.2,3349.35,MI,5.4,57000.0,1340.0,98.0,85.0,Personal,9700.0,36,12.81,Debt Consolidation,0.0,Online,1075,G,699,2,13.0,156.0,156700.0,0.0,0,0,0,0,0.278
100051,568771,17,4,2023,Email,REF0000,A01,9,2,1,1,40,66800.0,6.7,Self-employed,Graduate,Married,1,5567.0,553.47,294.0,0.152,0.15224011976047905,0.053,0.316,57448.8,57448.8,124351.2,847.47,10169.64,0.1467065868263473,67248.8,4719.196666666667,PA,4.7,61000.0,1580.0,95.0,83.0,Unknown,9800.0,0,16.71,Revolving Credit,0.0,Online,1014,N,731,10,19.9,238.79999999999998,181800.0,0.0,4,4,0,0,0.345
100052,607795,20,6,2017,Email,REF0000,Active2,7,3,0,1,19,20000.0,1.1,Part-time,High School,Single,2,1666.67,476.48,3992.07,2.681,2.68113,2.395,0.515,12669.0,12669.0,11931.0,4468.55,53622.600000000006,19.645,405569.0,-2801.88,CA,5.4,75000.0,2010.0,159.0,129.0,Mortgage,392900.0,180,9.03,Refinance,0.869,Branch,1050,H,612,6,1.0,12.0,24600.0,1.0,3,3,0,0,0.132
100053,633016,3,3,2013,Email,REF0000,A01,8,2,0,0,44,25800.0,8.4,Full-time,High School,Married,4,2150.0,309.91,728.76,0.483,0.4831023255813954,0.339,0.672,41395.2,41395.2,20204.8,1038.67,12464.04,0.8410852713178295,63095.2,1111.33,CA,5.6,75000.0,1800.0,164.0,128.0,Personal,21700.0,36,12.77,Home Improvement,0.0,Online,1041,M,718,9,5.4,64.80000000000001,61600.0,0.0,1,1,0,0,0.207
100054,557612,4,2,2017,Email,REF0000,Active1,5,3,1,1,28,65000.0,6.7,Full-time,Bachelor,Married,1,5416.67,1453.47,385.14,0.339,0.3394356923076923,0.071,0.421,51067.3,51067.3,70232.7,1838.61,22063.32,0.9861538461538462,115167.3,3578.06,MO,3.9,55000.0,1370.0,106.0,86.0,Mortgage,64100.0,360,6.02,Refinance,0.921,Online,1057,N,680,5,9.4,112.80000000000001,121300.0,0.0,2,2,0,0,0.274
