age,annual_income,employment_length,employment_type,education,marital_status,num_dependents,monthly_income,existing_monthly_debt,monthly_payment,debt_to_income_ratio,payment_to_income_ratio,credit_score,num_credit_accounts,num_delinquencies_2yrs,num_inquiries_6mo,recent_inquiry_count,credit_utilization,available_credit,loan_amount,loan_term,interest_rate,loan_to_value_ratio,total_debt_amount,monthly_free_cash_flow
28,65000.0,6.7,Full-time,Bachelor,Married,1,5416.67,1453.47,385.14,0.339,0.071,680,5,0.0,2,2,0.421,70232.7,64100.0,360,6.02,0.921,115167.3,3578.06
44,20000.0,2.6,Part-time,High School,Married,1,1666.67,187.34,1606.35,1.076,0.964,721,11,0.0,1,1,0.838,2057.3999999999996,300600.0,360,4.96,0.849,311242.6,-127.02333333333308
40,61700.0,6.1,Full-time,Bachelor,Married,3,5141.67,1959.79,177.48,0.416,0.035,744,8,0.0,2,2,0.503,25993.1,8500.0,60,9.25,0.0,34806.9,3004.4
44,47700.0,4.1,Full-time,Bachelor,Single,2,3975.0,1039.58,430.67,0.37,0.108,665,12,0.0,3,3,0.294,19838.6,15900.0,48,13.52,0.0,24161.4,2504.75
40,78400.0,4.9,Self-employed,Advanced,Single,0,6533.33,1111.22,1581.45,0.412,0.242,749,8,0.0,1,1,0.724,19954.800000000003,270700.0,360,5.76,0.752,323045.2,3840.66
34,61200.0,4.8,Full-time,Bachelor,Married,2,5100.0,1087.84,446.02,0.301,0.087,718,15,0.0,1,1,0.191,100235.1,13300.0,36,12.67,0.0,36964.9,3566.1400000000003
20,20000.0,2.8,Full-time,Some College,Single,1,1666.67,232.47,720.25,0.572,0.432,668,6,0.0,2,2,0.417,17898.1,31400.0,60,13.36,0.0,44201.9,713.95
58,50000.0,0.9,Part-time,Bachelor,Married,2,4166.67,1068.3,1426.84,0.599,0.342,708,13,0.0,0,0,0.35,74360.0,266400.0,360,4.98,0.618,306440.0,1671.53
46,194100.0,4.6,Full-time,Graduate,Married,3,16175.0,5290.52,1957.62,0.448,0.121,717,16,0.0,2,2,0.536,232000.0,365500.0,360,4.98,0.767,633500.0,8926.86
19,33000.0,1.1,Full-time,Some College,Single,0,2750.0,490.68,592.15,0.394,0.215,688,9,0.0,0,0,0.227,26591.2,17800.0,36,12.11,0.0,25608.8,1667.17
38,70100.0,8.9,Full-time,Advanced,Married,3,5841.67,1222.16,328.34,0.265,0.056,750,13,0.0,1,1,0.924,11020.0,12800.0,48,10.6,0.0,146780.0,4291.17
54,49900.0,6.3,Full-time,Graduate,Married,2,4158.0,1182.23,408.49,0.383,0.098,684,14,0.0,4,4,0.772,7843.200000000001,4600.0,12,11.9,0.0,31156.8,2567.61
46,82200.0,0.8,Contract,Some College,Married,2,6850.0,845.4,1061.95,0.278,0.155,736,4,0.0,3,3,0.223,52136.7,180400.0,360,5.83,0.858,195363.3,4942.65
37,78000.0,6.1,Full-time,Advanced,Married,0,6500.0,557.6,466.24,0.158,0.072,775,6,0.0,2,2,0.602,74545.4,14200.0,36,11.2,0.0,126954.6,5476.16
47,32400.0,8.6,Full-time,Graduate,Single,1,2700.0,810.46,1395.94,0.817,0.517,795,8,0.0,1,1,0.592,14851.2,284100.0,360,4.24,0.677,305648.8,493.5999999999999
39,47900.0,10.1,Full-time,Bachelor,Single,1,3991.67,541.35,402.23,0.236,0.101,714,11,0.0,2,2,0.361,71504.1,12500.0,36,9.81,0.0,52895.9,3048.09
33,108600.0,7.3,Full-time,Graduate,Married,4,9050.0,2903.16,465.0,0.372,0.051,764,5,0.0,1,1,0.417,155719.3,15500.0,0,18.36,0.0,126880.7,5681.84
24,22200.0,2.9,Full-time,Some College,Single,1,1850.0,339.22,2794.94,1.694,1.511,642,13,0.0,2,2,0.416,29959.2,420100.0,360,7.0,0.827,441440.8,-1284.16
34,65400.0,0.7,Full-time,High School,Married,0,5450.0,678.9,2296.63,0.546,0.421,715,16,0.0,2,2,0.66,14144.0,346600.0,360,6.96,0.627,374056.0,2474.47
45,62300.0,7.0,Full-time,Bachelor,Divorced,0,5191.67,1211.09,288.49,0.289,0.056,725,14,0.0,0,0,0.646,47117.4,13600.0,60,9.93,0.0,99582.6,3692.09
53,26600.0,10.3,Full-time,Some College,Married,1,2217.0,412.14,1223.08,0.738,0.552,675,16,0.0,1,1,0.542,28991.4,13800.0,12,11.53,0.0,48108.6,581.45
39,29000.0,3.7,Full-time,Advanced,Married,1,2416.67,929.39,261.0,0.493,0.108,716,9,0.0,2,2,0.249,58352.7,8700.0,0,17.46,0.0,28047.3,1226.28
32,73900.0,11.0,Full-time,Graduate,Married,0,6158.33,1988.27,303.0,0.372,0.049,754,10,0.0,1,1,0.225,75485.0,10100.0,0,17.03,0.0,32015.0,3867.06
41,42600.0,9.0,Full-time,Some College,Married,2,3550.0,962.87,911.41,0.528,0.257,647,12,0.0,1,1,0.549,43025.4,125400.0,360,7.9,0.778,177774.6,1675.72
55,33800.0,9.7,Contract,Graduate,Single,0,2816.67,518.79,2106.55,0.932,0.748,796,12,0.0,2,2,0.627,30772.5,487100.0,360,3.2,0.941,538827.5,191.33
45,80100.0,9.3,Self-employed,Some College,Divorced,1,6675.0,620.24,159.0,0.117,0.024,741,12,0.0,4,4,0.144,196280.8,5300.0,0,16.72,0.0,38319.2,5895.76
46,20400.0,6.5,Full-time,Some College,Married,1,1700.0,538.78,3094.69,2.137,1.82,691,18,0.0,1,1,0.245,31483.5,332000.0,180,7.59,0.812,342216.5,-1933.47
24,24100.0,5.2,Self-employed,High School,Married,0,2008.33,376.87,2405.18,1.385,1.198,602,11,0.0,4,4,0.411,37048.1,336700.0,360,7.72,0.753,362551.9,-773.72
55,92900.0,1.0,Full-time,Bachelor,Married,2,7742.0,2743.22,1601.15,0.561,0.207,820,12,0.0,3,3,0.19,100278.0,320500.0,360,4.38,0.567,344022.0,3397.296666666667
29,20000.0,7.6,Full-time,High School,Married,0,1666.67,490.26,419.52,0.546,0.252,719,13,0.0,1,1,0.621,15387.4,12600.0,36,12.17,0.0,37812.6,756.8866666666668
48,32700.0,9.4,Full-time,Bachelor,Married,3,2725.0,220.59,581.09,0.294,0.213,727,18,0.0,2,2,0.715,18582.0,22500.0,48,10.96,0.0,69118.0,1923.32
49,20000.0,4.2,Full-time,Graduate,Married,1,1667.0,582.77,126.0,0.425,0.076,776,6,0.0,1,1,0.191,49753.5,4200.0,0,17.02,0.0,15946.5,957.9
23,46500.0,5.2,Full-time,Graduate,Single,1,3875.0,497.66,2926.27,0.884,0.755,734,8,0.0,1,1,0.347,58443.5,456300.0,360,6.64,0.772,487356.5,451.07
38,35500.0,2.8,Full-time,High School,Single,1,2958.0,403.96,881.87,0.435,0.298,602,9,0.0,2,2,0.49,12852.0,18400.0,24,13.82,0.0,30748.0,1672.5
62,29500.0,4.9,Full-time,Graduate,Single,0,2458.33,719.96,279.0,0.406,0.113,748,7,0.0,2,2,0.45,39985.0,9300.0,0,18.19,0.0,42015.0,1459.37
33,37800.0,6.4,Full-time,Bachelor,Married,2,3150.0,232.93,291.0,0.166,0.092,739,14,0.0,0,0,0.224,83342.4,9700.0,0,19.05,0.0,33757.6,2626.07
34,20000.0,6.4,Full-time,Bachelor,Married,0,1666.67,160.75,636.39,0.478,0.382,698,19,0.0,1,1,0.17,36935.0,23400.0,48,13.74,0.0,30965.0,869.53
45,115500.0,11.0,Full-time,Bachelor,Married,2,9625.0,1113.01,68.84,0.123,0.007,785,10,0.0,0,0,0.554,47766.6,2700.0,48,10.28,0.0,62033.4,8443.15
57,53000.0,7.6,Self-employed,Graduate,Divorced,1,4416.67,1006.21,1510.17,0.57,0.342,784,24,0.0,2,2,0.669,30683.7,324100.0,360,3.8,0.513,386116.3,1900.29
42,39500.0,1.8,Full-time,Bachelor,Single,1,3291.67,412.36,91.58,0.153,0.028,756,3,0.0,1,1,0.462,59449.0,3600.0,48,10.16,0.0,54651.0,2787.73
46,44100.0,10.8,Full-time,High School,Married,0,3675.0,288.39,1189.39,0.402,0.324,679,12,0.0,4,4,0.758,27975.2,131100.0,180,7.15,0.769,218724.8,2197.22
51,29900.0,2.0,Full-time,Some College,Divorced,0,2491.67,127.69,637.21,0.307,0.256,737,14,0.0,2,2,0.426,40122.6,108600.0,360,5.8,0.74,138377.4,1726.77
30,55800.0,4.7,Full-time,Advanced,Single,0,4650.0,1030.94,2546.53,0.769,0.548,704,6,0.0,0,0,0.593,15954.400000000001,464800.0,360,5.18,0.645,488045.6,1072.53
41,85000.0,2.7,Part-time,Bachelor,Married,2,7083.33,1469.05,2828.4,0.607,0.399,725,5,0.0,3,3,0.632,24104.0,394800.0,360,7.75,0.692,436196.0,2785.88
39,26200.0,10.3,Part-time,Bachelor,Single,0,2183.33,658.99,237.0,0.41,0.109,736,3,0.0,2,2,0.209,41843.9,7900.0,0,16.31,0.0,18956.1,1287.34
33,32600.0,1.9,Full-time,High School,Married,2,2716.67,422.02,29.15,0.166,0.011,634,17,0.0,1,1,0.559,22226.4,1300.0,60,12.36,0.0,29473.6,2265.5
22,32000.0,4.4,Full-time,Some College,Single,0,2666.67,383.44,1303.45,0.633,0.489,642,7,0.0,5,5,0.591,26216.9,27100.0,24,14.18,0.0,64983.1,979.78
38,52300.0,5.7,Full-time,Some College,Married,1,4358.33,1065.81,294.0,0.312,0.067,691,10,0.0,0,0,0.551,59447.6,9800.0,0,18.97,0.0,82752.4,2998.523333333333
30,36200.0,10.1,Unknown,Some College,Single,0,3016.67,595.39,252.0,0.281,0.084,728,8,0.0,2,2,0.136,59875.2,8400.0,0,18.81,0.0,17824.8,2169.28
25,40100.0,5.2,Full-time,High School,Married,0,3341.67,217.26,897.39,0.334,0.269,713,18,0.0,1,1,0.498,29768.6,27300.0,36,11.28,0.0,56831.4,2227.02
39,87800.0,6.4,Full-time,Bachelor,Married,1,7316.67,772.84,402.0,0.161,0.055,692,13,0.0,2,2,0.305,124057.5,13400.0,0,16.18,0.0,67842.5,6141.826666666667
47,83400.0,3.3,Full-time,High School,Divorced,0,6950.0,856.35,855.11,0.246,0.123,676,14,0.0,1,1,0.342,127388.8,108400.0,360,8.78,0.842,174611.2,5238.54
45,97000.0,3.0,Full-time,Graduate,Divorced,1,8083.33,1407.29,135.0,0.191,0.017,799,7,0.0,0,0,0.683,97350.70000000001,4500.0,0,16.37,0.0,214249.3,6541.04
51,36900.0,16.1,Contract,Bachelor,Married,4,3075.0,317.63,2493.41,0.914,0.811,758,14,0.0,4,4,0.325,45157.5,468200.0,360,4.93,0.969,489942.5,263.96000000000004
58,59300.0,11.6,Full-time,Advanced,Single,2,4941.67,1204.02,2733.23,0.797,0.553,784,8,0.0,4,4,0.555,44366.5,501700.0,360,5.13,0.76,557033.5,1004.42
39,68300.0,5.3,Self-employed,Graduate,Single,1,5691.67,427.88,600.26,0.181,0.105,710,7,0.0,2,2,0.197,112580.6,22600.0,48,12.46,0.0,50219.4,4663.526666666667
55,42200.0,6.8,Full-time,Bachelor,Married,2,3516.67,1262.52,183.78,0.411,0.052,762,17,0.0,2,2,0.448,34168.8,8600.0,60,10.25,0.0,36331.2,2070.37
33,63100.0,2.4,Full-time,Bachelor,Single,2,5258.33,2064.96,1041.34,0.591,0.198,703,12,0.0,4,4,0.333,109321.3,30800.0,36,13.24,0.0,85378.7,2152.03
32,60500.0,2.7,Full-time,Advanced,Married,5,5042.0,1028.98,2976.07,0.794,0.59,691,13,0.0,5,5,0.721,30745.800000000003,485400.0,360,6.21,0.934,564854.2,1036.6166666666668
49,23400.0,11.0,Full-time,Bachelor,Married,1,1950.0,652.55,2979.73,1.863,1.528,779,4,0.0,1,1,0.516,10115.6,380300.0,180,4.86,0.74,391084.4,-1682.28
41,37300.0,4.2,Full-time,Some College,Single,0,3108.0,708.97,3012.59,1.197,0.969,664,6,0.0,0,0,0.422,18900.6,358900.0,360,9.48,0.778,372699.4,-613.2266666666669
27,91900.0,0.7,Full-time,Graduate,Single,1,7658.0,409.39,207.0,0.08,0.027,788,8,0.0,1,1,0.73,68634.0,6900.0,0,17.73,0.0,192466.0,7041.943333333333
33,55800.0,7.1,Self-employed,Some College,Single,0,4650.0,405.64,191.19,0.128,0.041,750,5,0.0,2,2,0.587,18006.8,7400.0,48,10.98,0.0,32993.2,4053.17
46,35900.0,5.0,Contract,High School,Single,0,2992.0,781.92,114.0,0.299,0.038,670,7,0.0,0,0,0.202,19870.2,3800.0,0,20.87,0.0,8829.8,2095.75
27,29200.0,9.6,Self-employed,Some College,Married,0,2433.33,304.92,129.77,0.179,0.053,665,11,0.0,0,0,0.516,17956.4,4800.0,48,13.42,0.0,23943.6,1998.64
28,30300.0,3.0,Full-time,Some College,Single,0,2525.0,799.75,555.36,0.537,0.22,685,7,0.0,2,2,0.613,22175.1,16300.0,36,13.78,0.0,51424.9,1169.89
56,76200.0,7.2,Full-time,Graduate,Married,2,6350.0,1057.46,920.09,0.311,0.145,747,14,0.0,1,1,0.784,22161.6,196500.0,360,3.84,0.845,276938.4,4372.45
34,109200.0,6.0,Full-time,Advanced,Married,2,9100.0,1527.06,1899.77,0.377,0.209,684,13,0.0,0,0,0.655,66585.0,218500.0,180,6.47,0.948,344915.0,5673.17
52,89900.0,3.4,Self-employed,Advanced,Single,1,7491.67,796.08,241.7,0.139,0.032,749,7,0.0,1,1,0.405,39329.5,7300.0,36,11.78,0.0,34070.5,6453.89
53,38900.0,6.9,Full-time,Some College,Married,2,3241.67,800.49,252.0,0.325,0.078,679,13,0.0,1,1,0.576,23956.0,8400.0,0,19.42,0.0,40944.0,2189.1766666666663
56,59100.0,4.2,Full-time,Bachelor,Single,1,4925.0,480.91,294.0,0.157,0.06,775,13,0.0,0,0,0.448,70656.0,9800.0,0,16.21,0.0,67144.0,4150.09
40,58100.0,6.7,Full-time,Graduate,Married,0,4841.67,1817.37,1645.82,0.715,0.34,814,4,0.0,1,1,0.165,102788.5,316600.0,360,4.72,0.727,336911.5,1378.48
35,23300.0,1.0,Full-time,Some College,Single,0,1941.67,401.38,3445.44,1.981,1.774,643,13,0.0,0,0,0.543,21936.0,444400.0,360,8.59,0.721,470464.0,-1905.15
42,110000.0,5.2,Full-time,Advanced,Married,2,9166.67,2226.15,264.0,0.272,0.029,812,10,0.0,2,2,0.327,149944.4,8800.0,0,14.65,0.0,81655.6,6676.516666666666
42,55000.0,6.1,Full-time,Some College,Married,3,4583.0,1549.3,468.0,0.44,0.102,789,11,0.0,1,1,0.561,20808.6,15600.0,0,13.86,0.0,42191.4,2566.03
58,45200.0,4.2,Full-time,Some College,Single,1,3766.67,1064.48,2205.81,0.868,0.586,773,13,0.0,1,1,0.104,108595.2,297200.0,180,4.05,0.83,309804.8,496.38
41,117100.0,3.5,Full-time,Graduate,Single,0,9758.33,1294.66,333.0,0.167,0.034,810,8,0.0,2,2,0.182,90716.2,11100.0,0,15.19,0.0,31283.8,8130.67
29,31100.0,6.9,Full-time,Bachelor,Married,1,2591.67,622.32,1598.98,0.857,0.617,669,15,0.0,1,1,0.536,21297.6,187200.0,180,6.19,0.804,211802.4,370.36666666666633
38,47900.0,1.1,Full-time,Some College,Married,1,3991.67,1317.75,177.34,0.375,0.044,739,14,0.0,4,4,0.396,31528.8,3800.0,24,11.13,0.0,24471.2,2496.58
46,49000.0,4.7,Contract,Bachelor,Married,2,4083.33,693.4,309.31,0.246,0.076,723,9,0.0,2,2,0.67,29601.0,9500.0,36,10.62,0.0,69599.0,3080.62
47,20000.0,6.8,Full-time,Some College,Married,1,1666.67,155.67,1067.01,0.734,0.64,678,8,0.0,2,2,0.419,33698.0,171300.0,360,6.36,0.806,195602.0,443.9866666666667
62,43400.0,14.2,Self-employed,Bachelor,Married,2,3616.67,813.53,1918.81,0.755,0.531,714,7,0.0,1,1,0.317,88994.9,282400.0,360,7.21,0.722,323705.1,884.33
34,100200.0,11.1,Full-time,High School,Single,0,8350.0,776.47,607.89,0.166,0.073,714,12,0.0,1,1,0.219,113088.8,22900.0,48,12.43,0.0,54611.2,6965.64
41,56000.0,11.2,Full-time,Some College,Married,3,4667.0,428.91,588.91,0.218,0.126,708,5,0.0,3,3,0.607,17842.2,17900.0,36,11.34,0.0,45457.8,3648.8466666666673
55,43100.0,5.2,Full-time,Some College,Single,0,3591.67,414.07,108.0,0.145,0.03,760,12,0.0,2,2,0.421,20786.1,3600.0,0,17.91,0.0,18713.9,3069.6
35,29100.0,0.3,Full-time,Bachelor,Married,0,2425.0,440.7,252.0,0.286,0.104,671,5,0.0,1,1,0.435,35651.5,8400.0,0,18.34,0.0,35848.5,1732.3
26,57600.0,6.2,Full-time,Graduate,Single,1,4800.0,947.11,497.49,0.301,0.104,723,5,0.0,1,1,0.199,35003.7,90600.0,360,5.2,0.816,99296.3,3355.4
25,21400.0,7.5,Full-time,Bachelor,Married,4,1783.0,245.82,1446.46,0.949,0.811,684,12,0.0,1,1,0.49,14178.0,208500.0,360,7.42,0.781,222122.0,91.05
31,29800.0,5.0,Full-time,Bachelor,Married,0,2483.33,651.6,1249.12,0.765,0.503,721,6,0.0,1,1,0.135,69027.0,37500.0,36,12.2,0.0,48273.0,582.6133333333337
42,35200.0,0.7,Full-time,Some College,Single,1,2933.0,906.0,111.0,0.347,0.038,663,5,0.0,2,2,0.389,34216.0,3700.0,0,18.93,0.0,25484.0,1916.33
